"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Tuindorp Oostzaan West",25.1,28.4,19.2
"Twiske Oost",23,25.2,17.4
"Twiske West",22.1,23.9,15.1
"Uilenburg",28.5,30.9,18.6
"Utrechtsebuurt Zuid",26.1,28.4,16.8
"VU-kwartier",31.5,32.7,NA
"Valeriusbuurt Oost",20.9,22.9,12.5
"Valeriusbuurt West",23.9,25.6,16.7
"Valkenburg",27.1,30,19.3
"Van Brakelkwartier",37.3,37.6,35.9
"Van Loonbuurt",25,27.5,14.7
"Van Tuyllbuurt",28,29,22.4
"Van der Helstpleinbuurt",31,31.9,24
"Van der Kunbuurt",40.6,41.7,34.6
"Van der Pekbuurt",38.3,39.7,29.2
"Veluwebuurt",29.6,31.4,22.9
"Venserpolder Oost",35.7,36.5,29.9
"Venserpolder West",36.6,37.8,30.7
"Vervoerscentrum",NA,NA,NA
"Vivaldi",37.4,37.9,14.9
"Vliegenbos",19.3,20.4,11.5
"Vogelbuurt Noord",33.5,34.2,29.9
"Vogelbuurt Zuid",36,37.4,28.3
"Vogeltjeswei",30.7,31.4,28.7
"Vondelpark Oost",NA,NA,NA
"Vondelpark West",NA,NA,NA
"Vondelparkbuurt Midden",28.3,30.6,19.3
"Vondelparkbuurt Oost",27.7,30.8,12.9
"Vondelparkbuurt West",27.5,29,20.4
"WG-terrein",29.7,32.2,21.2
"Walvisbuurt",23.7,25.3,16.4
"Waterloopleinbuurt",29.1,31.8,20.4
"Weesperbuurt",28.8,31.1,19.5
"Weespertrekvaart",28.8,29.5,9.8
"Weesperzijde Midden/Zuid",27.5,28.8,20
"Werengouw Midden",34.8,36.9,24.7
"Werengouw Zuid",32.9,36.2,18.9
"Westelijke eilanden",27.4,30.3,18
"Westerdokseiland",24.7,27.6,16.8
"Westergasfabriek",NA,NA,NA
"Westerstaatsman",33.2,33.5,28.7
"Westhaven Noord",28.6,32,NA
"Westhaven Zuid",NA,NA,NA
"Westlandgrachtbuurt",28.3,29.1,22.8
"Weteringbuurt",28.2,30.2,16.4
"Wielingenbuurt",24.7,26.4,16.9
"Wildeman",40.2,43.7,29.4
"Willemsparkbuurt Noord",24.1,25.9,15
"Willibrordusbuurt",32.7,34.1,26.7
"Wittenburg",30.2,32.3,22.3
"Woon- en Groengebied Sloterdijk",26.7,27.6,14.5
"Zaagpoortbuurt",38.4,39.8,25
"Zamenhofstraat e.o.",NA,NA,NA
"Zeeburgerdijk Oost",25.6,27.1,19.4
"Zeeburgereiland Noordoost",22,22.3,NA
"Zeeburgereiland Noordwest",15.5,18.8,NA
"Zeeburgereiland Zuidoost",41.8,41.9,NA
"Zeeburgereiland Zuidwest",36.5,37.1,NA
"Zeeheldenbuurt",31.3,32.8,23.8
"Zorgvlied",16.8,18.3,NA
"Zuidas Noord",27,27.7,14.4
"Zuidas Zuid",28.3,29.2,11.5
"Zuiderhof",37.5,37.5,NA
"Zuiderkerkbuurt",29.2,32,20.6
"Zuidoostkwadrant Indische buurt",36.9,37.5,33
"Zuidwestkwadrant Indische buurt",40.2,40.6,38.3
"Zuidwestkwadrant Osdorp Noord",38.3,39,35.4
"Zuidwestkwadrant Osdorp Zuid",34.4,35.3,26.8
"Zunderdorp",16.6,17.8,13.8
"Zwarte Gouw",NA,NA,NA
"de Plantage",24.7,27.7,14.6
